number,title
0,Zyte Developers Community newsletter issue #1
1,Zyte Developers Community newsletter issue #1
2,Insurance & credit scoring with alternative data
3,Launching the Zyte Developers Community
4,Automatic Extraction: Better web data with less hassle
5,Scrapy update: Better broad crawl performance
6,"Hi, we’re Zyte!"
7,Irish data extraction innovator unveils new name – and new AI-powered Automatic Extraction service
8,Large scale web scraping
9,Announcing the Web Data Extraction Summit 2020
10,Announcing The Web Data Extraction Summit 2020
